iter	Passed	Remaining
572	8842	9676
573	8858	9661
574	8873	9645
575	8895	9636
576	8917	9628
577	8939	9619
578	8959	9609
579	8979	9599
580	8997	9585
581	9018	9576
582	9035	9562
583	9051	9547
584	9079	9545
585	9099	9534
586	9120	9524
587	9141	9514
588	9158	9501
589	9179	9490
590	9197	9477
591	9216	9465
592	9237	9455
593	9259	9446
594	9277	9433
595	9298	9423
596	9319	9413
597	9341	9403
598	9361	9392
599	9382	9382
600	9404	9373
601	9427	9364
602	9446	9352
603	9465	9339
604	9483	9327
605	9502	9314
606	9522	9302
607	9541	9290
608	9566	9283
609	9585	9271
610	9603	9257
611	9620	9242
612	9635	9226
613	9650	9209
614	9667	9195
615	9682	9179
616	9698	9163
617	9712	9146
618	9726	9129
619	9741	9112
620	9756	9096
621	9770	9079
622	9787	9064
623	9806	9051
624	9822	9036
625	9837	9020
626	9851	9002
627	9866	8986
628	9882	8970
629	9899	8956
630	9912	8938
631	9927	8922
632	9942	8906
633	9957	8889
634	9972	8873
635	9985	8855
636	9999	8837
637	10014	8821
638	10029	8805
639	10042	8787
640	10057	8771
641	10073	8755
642	10087	8738
643	10102	8721
644	10117	8705
645	10130	8687
646	10145	8671
647	10160	8655
648	10174	8638
649	10189	8621
650	10204	8605
651	10218	8588
652	10232	8571
653	10246	8554
654	10260	8537
655	10273	8519
656	10288	8503
657	10303	8486
658	10318	8470
659	10334	8455
660	10348	8438
661	10364	8422
662	10380	8407
663	10399	8394
664	10413	8377
665	10429	8362
666	10446	8347
667	10460	8330
668	10475	8314
669	10495	8302
670	10511	8287
671	10531	8274
672	10553	8263
673	10572	8251
674	10591	8238
675	10611	8225
676	10632	8213
677	10651	8200
678	10671	8188
679	10691	8176
680	10708	8160
681	10722	8144
682	10739	8128
683	10755	8113
684	10770	8097
685	10784	8080
686	10802	8066
687	10820	8052
688	10837	8037
689	10853	8022
690	10871	8008
691	10887	7992
692	10906	7979
693	10923	7964
694	10941	7950
695	10956	7934
696	10971	7918
697	10986	7901
698	11002	7885
699	11015	7868
700	11030	7852
701	11045	7835
702	11061	7819
703	11076	7803
704	11090	7786
705	11103	7769
706	11118	7753
707	11133	7736
708	11148	7720
709	11161	7703
710	11176	7686
711	11193	7671
712	11207	7655
713	11223	7639
714	11237	7622
715	11252	7606
716	11267	7590
717	11283	7574
718	11297	7557
719	11312	7541
720	11329	7526
721	11345	7511
722	11362	7496
723	11377	7480
724	11392	7464
725	11406	7447
726	11422	7431
727	11437	7415
728	11452	7399
729	11467	7383
730	11481	7366
731	11497	7350
732	11511	7334
733	11526	7317
734	11542	7302
735	11559	7287
736	11573	7270
737	11589	7255
738	11604	7239
739	11620	7223
740	11634	7207
741	11648	7190
742	11663	7173
743	11680	7158
744	11697	7144
745	11712	7128
746	11729	7113
747	11745	7097
748	11760	7081
749	11776	7066
750	11792	7050
751	11810	7036
752	11828	7021
753	11844	7006
754	11862	6991
755	11881	6977
756	11898	6962
757	11916	6948
758	11930	6932
759	11945	6915
760	11962	6900
761	11977	6884
762	11991	6867
763	12004	6850
764	12018	6834
765	12031	6816
766	12045	6799
767	12058	6782
768	12073	6766
769	12088	6750
770	12103	6734
771	12118	6718
772	12131	6701
773	12149	6686
774	12164	6671
775	12180	6655
776	12196	6639
777	12209	6622
778	12225	6606
779	12239	6590
780	12252	6573
781	12266	6556
782	12281	6540
783	12295	6523
784	12311	6508
785	12324	6491
786	12339	6475
787	12354	6459
788	12368	6443
789	12386	6428
790	12402	6413
791	12418	6397
792	12433	6381
793	12449	6365
794	12463	6349
795	12481	6334
796	12497	6319
797	12513	6304
798	12559	6303
799	12580	6290
800	12615	6283
801	12637	6271
802	12659	6258
803	12679	6245
804	12709	6236
805	12727	6221
806	12751	6209
807	12772	6196
808	12787	6180
809	12803	6164
810	12820	6149
811	12839	6134
812	12855	6119
813	12874	6105
814	12890	6089
815	12905	6072
816	12920	6056
817	12934	6040
818	12947	6023
819	12961	6006
820	12980	5992
821	12996	5976
822	13010	5960
823	13024	5943
824	13038	5926
825	13051	5909
826	13064	5892
827	13078	5875
828	13094	5860
829	13109	5843
830	13123	5827
831	13137	5810
832	13151	5794
833	13164	5777
834	13178	5760
835	13194	5744
836	13207	5728
837	13221	5711
838	13234	5694
839	13247	5677
840	13260	5660
841	13273	5643
842	13289	5627
843	13303	5611
844	13319	5595
845	13337	5580
846	13354	5565
847	13370	5550
848	13388	5535
849	13405	5519
850	13423	5505
851	13440	5489
852	13461	5476
853	13500	5469
854	13521	5455
855	13538	5440
856	13563	5428
857	13581	5413
858	13596	5397
859	13624	5386
860	13641	5371
861	13663	5357
862	13686	5344
863	13713	5332
864	13731	5318
865	13754	5304
866	13775	5290
867	13798	5277
868	13821	5264
869	13845	5251
870	13865	5237
871	13882	5221
872	13900	5206
873	13918	5191
874	13932	5174
875	13945	5157
876	13960	5141
877	13973	5124
878	13987	5108
879	14002	5091
880	14016	5075
881	14030	5058
882	14044	5042
883	14057	5025
884	14071	5008
885	14084	4991
886	14097	4974
887	14111	4958
888	14124	4941
889	14138	4924
890	14154	4908
891	14167	4891
892	14181	4875
893	14193	4858
894	14209	4842
895	14224	4826
896	14238	4809
897	14252	4793
898	14265	4776
899	14280	4760
900	14295	4743
901	14308	4727
902	14321	4710
903	14334	4693
904	14347	4676
905	14366	4661
906	14380	4645
